frenchTitle;genres;averageRating;numVotes;decade
De l'or en barres;Comedy, Crime;7.5;16329;1950
The Long Memory;Thriller, Drama, Crime;7.0;1374;1950
L'homme au complet blanc;Comedy, Drama, Sci-Fi;7.2;11235;1950
Le banni des îles;Adventure, Drama;6.9;1353;1950
Le plaisir;Comedy, Romance, Drama;7.5;5612;1950
Trois dames et un as;Comedy, Romance, Drama, Family;7.0;2012;1950
Le retour de Don Camillo;Comedy;7.2;2775;1950
Rapt;Thriller, Film-Noir, Drama, Crime;7.3;1481;1950
Capitaine Paradis;Comedy, Romance, Drama;6.8;1860;1950
La merveilleuse histoire de Mandy;Drama;7.4;1144;1950
La mer cruelle;Drama, War, History;7.4;5777;1950
Geneviève;Comedy, Adventure;7.0;3601;1950
Les chevaliers de la table ronde;Adventure, Action, Romance, Drama, Fantasy;6.2;4234;1950
Madame de...;Romance, Drama, History;7.9;11650;1950
Tonnerre sur Malte;Drama, War, History;6.5;2092;1950
L'homme de Berlin;Thriller, Film-Noir, Drama, Crime;7.0;2733;1950
Le vagabond des mers;Adventure, Action, History;6.4;1851;1950
L'homme au million;Comedy, Romance;6.8;4445;1950
Le Salaire de la peur;Thriller, Adventure, Drama;8.1;70416;1950
Plus fort que le diable;Comedy, Adventure, Action;6.4;10903;1950
Thérèse Raquin;Romance, Thriller, Drama, Crime;7.4;2010;1950
Cinq heures de terreur;Thriller, Film-Noir, Crime;6.1;1020;1950
Tortillard pour Titfield;Comedy;7.0;3526;1950
Touchez pas au grisbi;Thriller, Drama, Crime;7.7;8995;1950
Le roi de la pagaille;Comedy;6.6;1205;1950
Les Vacances de M. Hulot;Comedy;7.3;21155;1950
Voyage en Italie;Romance, Drama;7.3;13152;1950
Les inutiles;Comedy, Drama;7.8;22077;1950
Ali Baba et les 40 Voleurs;Comedy, Adventure, Romance, Fantasy;6.0;1486;1950
Angels One Five;Drama, War;6.5;1403;1950
Le beau Brummel;Romance, Drama, History, Biography;6.4;1895;1950
