tconst;id;frenchTitle;primaryTitle;averageRating;runtimeMinutes;genres;startYear;overview;directors;acteurs;poster_path;video;frenchOverview
tt5540992;476335;Shock and Awe;Shock and Awe;6.4;90;History, Drama, Biography, Thriller;2017;"A group of journalists covering George Bush's planned invasion of Iraq in 2003 are skeptical of the presidents claim that Saddam Hussein has ""weapons of mass destruction.""";Rob Reiner;Woody Harrelson, James Marsden, Rob Reiner;https://image.tmdb.org/t/p/original//zqpRRJMYkciLfMjZOorpPiVYg8D.jpg;Non disponible;Retour sur l'enquête d'une équipe de journalistes qui a levé le voile sur la fragilité des raisons qui ont conduit les États-Unis à déclarer la guerre à l'Irak en 2003.
tt5541240;401104;To the Bone;To the Bone;6.8;107;Drama;2017;A young woman dealing with anorexia meets an unconventional doctor who challenges her to face her condition and embrace life.;Marti Noxon;Rebekah Kennedy, Lily Collins, Dana L. Wilson;https://image.tmdb.org/t/p/original//pkdxhdB3dRUqazqoy9lzUvhayjc.jpg;Non disponible;Ellen, 20 ans, atteinte d'anorexie mentale, entreprend sous la houlette d'un médecin peu conventionnel un voyage poignant mais parfois drôle à la découverte d'elle-même.
tt5545674;421619;The Constitution;The Constitution;7.7;93;Drama, Comedy;2016;Four very different people live in the same building but avoid each other because of differences in how they live their lives, what they believe in, and where they come from. They would probably never exchange a word, but misfortune pushes them towards each other. Their lives entangle in ways that profoundly challenge deep-held beliefs and prejudices surrounding material status, sexual orientation, nationality and religion.  Slowly, and even painfully, they begin to open up to each other and recognize the essential humanity each of them possesses.;Rajko Grlic;Nebojsa Glogovac, Dejan Acimovic, Ksenija Marinkovic;https://image.tmdb.org/t/p/original//urwSdarAtjbYwcJtCfQaeqpjdNe.jpg;Non disponible;
tt5555502;393764;Bienvenue à Marly-Gomont;The African Doctor;7.0;96;Drama, Comedy, Biography;2016;1975. When Seyolo Zantoko, a doctor from the Congo who has managed, along with his family, to flee tyranny, is hired by the mayor of a small town in northern France, he begins a struggle to adapt to a new life and gain the trust of the prejudiced villagers.;Julien Rambaldi;Marc Zinga, Aïssa Maïga, Bayron Lebli;https://image.tmdb.org/t/p/original//nUOuBg0OAUuJIgyYl35rQ3uxQCa.jpg;https://www.youtube.com/watch?v=NRADS6wT3nc;En 1975, Seyolo Zantoko, médecin fraichement diplômé originaire de Kinshasa, saisit l’opportunité d’un poste de médecin de campagne dans un petit village français. Arrivés à Marly-Gomont, Seyolo et sa famille déchantent. Les habitants ont peur, ils n’ont jamais vu de noirs de leur vie. Mais Seyolo est bien décidé à réussir son pari et va tout mettre en œuvre pour gagner la confiance des villageois.
tt5556054;555457;4 enfants et moi;Four Kids and It;5.1;110;Family, Fantasy;2020;A group of kids on holiday in Cornwall meet a magical creature on the beach with the power to grant wishes.;Andy De Emmony;Teddie Allen, Pippa Haywood, Matthew Goode;https://image.tmdb.org/t/p/original//sJXVGLDYp8CzjE4Uw1MdcRv0OZ0.jpg;Non disponible;Quatre enfants découvrent une mystérieuse créature durant leurs vacances d'été. Cette dernière leur propose d'exaucer un voeu chaque jour, la magie prenant fin au coucher du soleil.
tt5562070;550205;Le Dragon-génie;Wish Dragon;7.2;98;Adventure, Comedy, Family, Fantasy, Animation;2021;Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.;Chris Appelhans;Jimmy Wong, John Cho, Constance Wu;https://image.tmdb.org/t/p/original//kTl4PwU1Xvls5FR6HcFGXdflu8C.jpg;Non disponible;Din, un étudiant ambitieux mais sans le sou, et Long, un dragon cynique mais tout-puissant capable d'exaucer des vœux, se lancent dans une aventure délirante à travers le Shanghai d'aujourd'hui à la recherche de Lina, une amie d'enfance que Din n'a pas revue depuis longtemps. Leur périple les conduira à se poser certaines questions existentielles, car si l'on peut obtenir tout ce que l'on souhaite, il faut alors déterminer ce qui compte réellement.
tt5563324;785752;L'Intrusion;Intrusion;5.3;92;Mystery, Drama, Action, Thriller;2021;When a husband and wife move to a small town, a home invasion leaves the wife traumatized and suspicious that those around her might not be who they seem.;Adam Salky;Freida Pinto, Logan Marshall-Green, Robert John Burke;https://image.tmdb.org/t/p/original//o6ozTBflWXlBje0uxJv4m6s4HTq.jpg;Non disponible;Un couple qui vient de s'installer dans une petite ville est victime d'un cambriolage. Traumatisée, l'épouse commence à soupçonner son entourage.
tt5563334;511322;L'art du mensonge;The Good Liar;6.7;109;Crime, Mystery, Drama;2019;Career con man Roy sets his sights on his latest mark: recently widowed Betty, worth millions. And he means to take it all. But as the two draw closer, what should have been another simple swindle takes on the ultimate stakes.;Bill Condon;Helen Mirren, Ian McKellen, Russell Tovey;https://image.tmdb.org/t/p/original//dV74Ztptm8DEvCP0yMahKfIEmrL.jpg;https://www.youtube.com/watch?v=SeFII4v6eOw;"Escroc professionnel, Roy Courtnay n’en croit pas sa chance ! Alors qu’il surfe sur un site de rencontre, il fait la connaissance d’une riche veuve, Betty McLeish, qui lui ouvre sa porte... et son cœur. Rien de plus facile que de la dépouiller ! Sauf qu’il n’avait pas prévu de se prendre d’affection pour sa ""cible""... Contre toute attente, Roy s’engage dans la mission la plus délicate de sa carrière d’arnaqueur."
tt5563782;521531;Followed;Followed;4.9;96;Mystery, Horror, Thriller;2018;Social media influencer, 'DropTheMike', seeks thrills and stardom in the most horrific places. When he’s offered the possibility of a lucrative sponsorship, he takes his online channel to one of the most haunted hotels in America. What begins as a fun challenge accompanied by friends descends into a personal hell, begging the timely question: how far would you go to pursue internet fame?;Antoine Le;Matthew Solomon, John Savage, Tim Drier;https://image.tmdb.org/t/p/original//3B2twt8I02cLAPHG6dkDpTFbgz5.jpg;Non disponible;"L'influenceur de médias sociaux, ""DropTheMike"", cherche les sensations fortes et la célébrité dans les endroits les plus horribles. Lorsqu'on lui offre la possibilité d'un parrainage lucratif, il emmène sa chaîne en ligne dans l'un des hôtels les plus hantés d'Amérique."
tt5564336;513230;Lucid;Lucid;4.6;86;Thriller, Sci-Fi;2018;Zel, a lonely young man's life changes when his enigmatic neighbour offers to help him overcome social anxiety.;Adam Morse;Laurie Paul Calvert, Sophie Kennedy Clark, Felicity Gilbert;https://image.tmdb.org/t/p/original//bwveRoikZTIDGWihyCJyGn4uqT1.jpg;Non disponible;
