tconst;frenchTitle;genres;averageRating;numVotes;actor1;actor2;actor3;decade
tt0021156;Morocco;Drama, Romance;7.0;7942;Gary Cooper;Marlene Dietrich;Adolphe Menjou;1930
tt0021165;Meurtre;Mystery, Thriller, Drama, Crime;6.3;7473;Herbert Marshall;Norah Baring;Phyllis Konstam;1930
tt0021281;Raffles, gentleman cambrioleur;Romance, Drama, Adventure, Crime;6.4;1167;Ronald Colman;Kay Francis;David Torrence;1930
tt0021309;Le roman de Renard;Adventure, Animation, Fantasy, Comedy, Family;7.6;1669;Claude Dauphin;Romain Bouquet;Sylvain Itkine;1930
tt0021331;Le sang d'un poète;Fantasy;7.2;7712;Enrique Rivero;Lee Miller;Pauline Carton;1930
tt0021409;Sous les toits de Paris;Drama, Music, Musical, Comedy, Romance;7.0;2579;Albert Préjean;Pola Illéry;Edmond T. Gréville;1930
tt0021505;Le club des trois;Romance, Drama, Crime;6.7;1480;Lon Chaney;Lila Lee;Elliott Nugent;1930
tt0021549;Whoopee!;Western, Music, Musical, Comedy, Romance;6.3;1256;Eddie Cantor;Ethel Shutta;Paul Gregory;1930
tt0021577;Âge d'or;Comedy, Drama, Romance;7.2;15291;Gaston Modot;Lya Lys;Caridad de Laberdesque;1930
tt0021607;Une tragédie américaine;Romance, Drama, Crime;6.4;1021;Phillips Holmes;Sylvia Sidney;Frances Dee;1930
tt0021622;Arrowsmith;Drama;6.2;2125;Ronald Colman;Helen Hayes;Richard Bennett;1930
tt0021633;The Bachelor Father;Comedy, Drama, Romance;6.4;1319;Marion Davies;Ralph Forbes;C. Aubrey Smith;1930
tt0021635;Bad Girl;Drama, Romance;6.4;1746;James Dunn;Sally Eilers;Minna Gombell;1930
