tconst;primaryTitle;title;frenchTitle;startYear;genres;production_countries;runtimeMinutes;revenue;tagline;overview;id;averageRating;numVotes;actor1;actor2;actor3
tt11056594;Rev;Rev;Drive or Die;2020;Thriller, Drama, Action;US;91;0.0;Live Fast. Drive Faster.;A young thief with a history of grand theft auto becomes an informant and helps police bring down a criminal enterprise involved in the smuggling of hundreds of exotic super cars.;649392;5.1;1833;Francesco Filice;Vivica A. Fox;Hannah Gordon
tt11056910;The Stylist;The Stylist;The Stylist;2020;Drama, Horror;US;105;0.0;A look to kill for.;Claire is a lonely hairstylist who secretly murders and scalps her clients. When Olivia makes the well-intentioned mistake of asking Claire to style her hair for her wedding, she becomes dangerously obsessed, and her sanity starts to slip away with bloody consequences.;741612;5.6;2930;Najarra Townsend;Brea Grant;Jennifer Seward
tt11057302;Madame Web;Madame Web;Madame Web;2024;Thriller, ScienceFiction, Action, Fantasy;US;116;0.0;;An origin story of the clairvoyant known as Madame Web, whose psychic abilities allow her to see within the spider world.;634492;4.0;102239;Dakota Johnson;Sydney Sweeney;Isabela Merced
tt1105739;The Joy of Singing;The Joy of Singing;Le plaisir de chanter;2008;Comedy, Crime;FR;99;0.0;;A banker has died. He trafficked in nuclear material, so French intelligence assign two agents to find his list of contacts, which are on a flash drive: Muriel - the boss, acerbic, willing to sleep with any man, wondering if she should have a child - and Philippe, younger, boyish, meticulous, bothered by Muriel's frank sexual interest. They watch Constance, the banker's widow: a naïve, friendly, open, trusting. She's taking opera lessons, so the French spies join the class, which Muriel enjoys. It seems that other spies are after the same USB, and some of them sing as well. Singing, spying, and sex lead to duets of all kinds as well as to an eventual showdown.;18756;5.8;329;Marina Foïs;Lorànt Deutsch;Jeanne Balibar
tt11057594;Fatal Affair;Fatal Affair;Rencontre fatale;2020;Mystery, Thriller, Horror, Crime;US;89;0.0;;Ellie tries to mend her marriage with her husband Marcus after a brief encounter with an old friend, David, only to find that David is more dangerous and unstable than she'd realized.;714375;4.6;7093;Nia Long;Omar Epps;Stephen Bishop
tt11057644;The Christmas Chronicles: Part Two;The Christmas Chronicles: Part Two;Les chroniques de Noël 2;2020;Comedy, Adventure, Family, Fantasy;US;112;0.0;The battle to save Christmas is on.;Kate Pierce is reluctantly spending Christmas with her mom’s new boyfriend and his son Jack. But when the North Pole and Christmas are threatened to be destroyed, Kate and Jack are unexpectedly pulled into a new adventure with Santa Claus.;654028;6.0;38450;Kurt Russell;Goldie Hawn;Darby Camp
tt11058006;A Daughter's Plan to Kill;A Daughter's Plan to Kill;La fille toxique de mon mari;2019;Thriller, TVMovie;US;90;0.0;You can't outrun your past.;When Katie and Greg Carlyle invited Greg's estranged daughter to live with them, they had no idea that they would be inviting jealousy, violence, and deceit into their home to wreak havoc on their perfect life.;648952;4.8;682;Claire Coffee;Matt Dallas;Jordan Lane Price
tt11058214;Fires in the Dark;Fires in the Dark;Des feux dans la nuit;2020;Drama, History;BE,FR;94;0.0;;Seventeenth century. Set in a small village, nestled between the sea and the mountain, the father of Alan, a young fifteen-year-old boy, has sold himself for two years to indentured service. Alan is forced to take the place of his father and struggles to support his family.;735333;7.0;50;Igor van Dessel;Ana Girardot;Jérémie Elkaïm
tt11058930;Kandisha;Kandisha;Kandisha;2020;Horror;FR,MA;85;0.0;;One summer evening, three childhood friends invoke the spirit of Kandisha, a vengeful creature from a Moroccan legend. The game quickly turns into a nightmare when their loved ones begin to disappear.;607365;5.4;1627;Mathilde La Musse;Suzy Bemba;Samarcande Saadi
tt11060092;Poly;Poly;Poly;2020;Adventure, Family;FR;102;5236154.0;;The adventures of Shetland pony Poly in the South of France.;659943;5.7;236;François Cluzet;Julie Gayet;Patrick Timsit
tt11067646;Dead Residence;Dead Residence;Dead Residence;2019;Horror;US;68;0.0;;"A young couple buys a house with intention of ""flipping it"". Mysterious activities start happening to them while they are repairing the home.";643587;4.1;97;Arius West;Kylie Remlinger;Martin Grobisen
tt11068094;White Bird;White Bird: A Wonder Story;White Bird: Une histoire merveilleuse;2023;Drama, Family, Biography;US;121;0.0;One act of kindness lives on forever.;Julian Albans, the bully who left Beecher Prep, is visited by his Grandmère from Paris and is transformed by her remarkable story of compassion and courage. As a girl in Nazi-occupied France, the young Grandmère goes into hiding with the help of a schoolmate, a young man who risks everything to give her the chance to survive. Together, they find beauty and love in the secret world of their own creation.;779816;7.3;6616;Ariella Glaser;Orlando Schwerdt;Gillian Anderson
tt1106815;Luke and Brie Are on a First Date;Luke and Brie Are on a First Date;Luke and Brie Are on a First Date;2008;Comedy, Drama, Romance;US;76;0.0;It seems to be going well;Luke and Brie are on a first date, but the hazards of this term, and the incessant need for casualness keep their evening ebbing and flowing between flirtations and misunderstandings.;102506;6.2;114;George Ducker;Meghan Webster;Leisha Corcoran
